ID,coordx,coordy,x1,x2,x3,x4,y
1,-9.0021,31.11301,667.6147924,-0.4492,0,1,0.813157895
2,-9.02395,31.07034,672.987471,-0.57608,29.4563792,3,0.360526316
3,-9.05787,30.93887,687.1008399,-0.35884,0,2,0.613157895
4,-9.14049,30.79459,705.277047,-0.25053,0,2,0.913157895
5,-9.20639,30.67361,720.8703548,-0.09559,0,1,0.876315789
6,-9.37698,30.62168,736.3391187,0.6986,0,3,0.455263158
7,-9.35332,30.61283,735.9710576,0.01743,0,2,0.771052632
8,-9.69213,29.47521,861.0797996,-0.67061,0,2,0.692105263
9,-9.64995,29.17038,886.5556746,-0.98003,0,2,0.618421053
10,-9.62228,29.16651,885.8629831,-0.9679,0,2,0.560526316
11,-8.98025,29.13708,852.6671864,-0.85229,0,2,0.807894737
12,-9.17642,29.10325,866.0622568,-0.98003,0,2,0.865789474
13,-9.49623,29.10169,884.9211927,-0.87744,0,2,0.776315789
14,-8.90865,29.09647,852.9217893,-0.96183,0,2,0.95
15,-9.30832,29.05966,878.1630645,-0.8362,0,2,0.992105263
16,-8.48023,30.22892,719.4649132,-0.77234,0,2,0.739473684
17,-8.46433,30.10854,730.8440756,-0.62873,0,2,0.671052632
18,-8.4501,30.01644,739.0210104,-0.74201,0,2,0.986842105
19,-8.07152,29.70667,752.2058984,-0.98003,0,2,0.934210526
20,-8.20315,29.6824,760.3394691,-0.96194,0,2,0.592105263
21,-8.27147,29.64791,767.1553939,-0.85126,0,2,0.628947368
22,-8.35846,29.6432,771.8976696,-0.83907,0,2,0.597368421
23,-8.36223,30.87313,650.971851,0.64851,50,6,0.292105263
24,-8.37926,30.86825,652.709784,1.07198,50,3,0.197368421
25,-8.38204,30.86545,652.709784,0.74094,50,4,0.192105263
26,-8.3893,30.85813,653.9773167,-0.24954,50,3,0.476315789
27,-8.37371,30.85719,653.0377612,0.69717,50,2,0.75
28,-8.39508,30.8018,660.0360709,0.85593,30,3,0.260526316
29,-8.40433,30.77009,662.9025713,-0.25966,30.89845367,2,0.307894737
30,-8.44047,30.7152,670.3689465,-0.70429,0,2,0.960526316
31,-7.53491,31.54381,540.9915982,0.91986,35,5,0.244736842
32,-7.3838,31.28263,561.0224878,-1.08933,0,1,0.544736842
33,-7.26272,31.26603,557.7746168,-0.47079,0,2,0.797368421
34,-7.2865,31.26529,558.4662519,-0.15854,0,1,0.713157895
35,-7.31207,31.26514,559.865011,-0.74058,0,1,0.802631579
36,-7.38025,31.25603,563.5787681,-0.05203,0,5,0.760526316
37,-7.92737,32.83569,442.947603,-0.8041,0,2,0.818421053
38,-7.87634,32.75831,446.7080488,-0.91027,0,2,0.871052632
39,-7.78771,32.75034,441.8045587,-1.22555,0,3,0.513157895
40,-7.9128,32.4204,479.1344107,-1.22555,0,3,0.502631579
41,-7.81219,32.39803,475.0203585,-0.95885,0,2,0.602631579
42,-7.69469,32.38571,468.0821247,-0.66547,0,2,0.676315789
43,-7.59257,32.38449,462.9151032,-1.09976,0,2,0.907894737
